MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	497.0687	Sec	4/16/2021 9:08:15 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0247397	-0.083670296	-3.6509013
10.02474	-0.16758831	-26.309013
15.02474	-0.2493185	-57.845932
20.02474	-0.33548078	-88.359474
25.02474	-0.41556263	-121.60709
30.02474	-0.50051433	-154.79126
35.024742	-0.58522981	-195.68219
40.024742	-0.66826451	-234.45508
45.024742	-0.74917626	-274.09354
50.024742	-0.83558702	-316.49591
55.024742	-0.91742808	-355.66879
60.024742	-1.0004746	-399.47913
65.024742	-1.0851899	-440.11429
70.024742	-1.1659315	-479.04871
75.024742	-1.2506856	-524.84467
80.024742	-1.3326995	-562.22614
85.024742	-1.4168136	-608.10205
90.024742	-1.5002706	-648.82855
95.024742	-1.5835223	-689.48096
100.02474	-1.6651449	-734.51868
105.02474	-1.7506683	-774.94836
110.02474	-1.8350339	-817.93207
115.02474	-1.9163392	-859.06213
120.02474	-2.0014355	-901.85364
125.02474	-2.084753	-947.45636
130.02475	-2.1665928	-992.12872
135.02475	-2.2506194	-1034.3464
140.02475	-2.3360357	-1084.0385
145.02475	-2.41573	-1128.6274
150.02475	-2.500351	-1174.8673
155.02475	-2.5832808	-1217.0859
160.02475	-2.6660509	-1259.6831
165.02475	-2.7501082	-1302.9788
170.02475	-2.8324358	-1344.8131
175.02475	-2.9180415	-1390.4041
180.02475	-3.0000885	-1433.3969
185.02475	-3.0837429	-1475.525
190.02475	-3.1657388	-1520.3193
195.02475	-3.2527306	-1564.5502
200.02475	-3.3328371	-1606.5162
205.02475	-3.4159334	-1650.8394
210.02475	-3.4995801	-1694.9623
215.02475	-3.5829179	-1741.2382
220.02475	-3.6645951	-1783.4541
225.02475	-3.7480245	-1825.6188
230.02475	-3.8336096	-1870.7013
235.02475	-3.9170601	-1914.3881
240.02475	-4.0002255	-1961.6769
245.02475	-4.0815043	-1999.3696
250.02475	-4.1664958	-2044.6287
255.02475	-4.2493348	-2089.072
260.02475	-4.3338494	-2131.9033
265.02475	-4.4163055	-2174.0742
270.02475	-4.497798	-2213.7507
275.02475	-4.5806284	-2251.7966
280.02475	-4.6641607	-2300.7412
285.02475	-4.7475252	-2338.2502
290.02475	-4.8332214	-2382.7002
295.02475	-4.9166355	-2426.6912
300.02475	-4.9979696	-2465.3171
305.02475	-5.0826483	-2510.3174
310.02475	-5.1659689	-2552.6675
315.02475	-5.2474332	-2588.7366
320.02475	-5.3287787	-2627.3408
325.02475	-5.4137588	-2669.0264
330.02475	-5.4982266	-2710.0532
335.02475	-5.5817003	-2751.3704
340.02475	-5.6639462	-2793.5449
345.02475	-5.7482085	-2835.9592
350.02475	-5.8336043	-2880.8718
355.02475	-5.9128261	-2913.9043
360.02475	-5.9965038	-2956.7188
365.02475	-6.0818563	-2997.3108
370.02475	-6.1638222	-3035.3738
375.02475	-6.2478452	-3074.9661
380.02475	-6.3287339	-3107.8259
385.02475	-6.4147868	-3150.7271
390.02475	-6.4968104	-3182.7563
395.02475	-6.5799475	-3221.2427
400.02475	-6.6639752	-3255.6001
405.02475	-6.7482262	-3303.1211
410.02475	-6.8307352	-3336.9834
415.02475	-6.9146404	-3372.7107
420.02475	-6.997129	-3410.0142
425.02475	-7.079886	-3442.0081
430.02475	-7.1639686	-3479.3066
435.02475	-7.246418	-3511.333
440.02475	-7.330348	-3550.4714
445.02475	-7.4139714	-3585.5259
450.02475	-7.4988632	-3618.9014
455.02475	-7.5821924	-3622.1765
460.02475	-7.6627808	-3653.3777
465.02475	-7.7485352	-3688.6084
470.02475	-7.8325558	-3718.8682
475.02475	-7.9129648	-3702.748
480.02475	-7.9957466	-3756.8533
485.02475	-8.0811119	-3801.0796
490.02475	-8.1642113	-3825.1565
495.02475	-8.2485247	-2674.552
