MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A									
									
Data Acquisition						Time:	629.65039	Sec	3/31/2021 9:01
Time	Ch Disp.	Ch Force							
Sec	mm	N							
5.0247397	-0.078053899	-23.692085							
10.02474	-0.16117176	-49.4188							
15.02474	-0.24560072	-75.759125							
20.02474	-0.32478929	-100.55301							
25.02474	-0.40799689	-129.87924							
30.02474	-0.49497345	-163.29724							
35.024742	-0.5752793	-192.21928							
40.024742	-0.6606375	-222.19191							
45.024742	-0.74613971	-255.87785							
50.024742	-0.8291229	-288.16257							
55.024742	-0.91199225	-323.99042							
60.024742	-0.99475294	-356.83063							
65.024742	-1.0779073	-393.31836							
70.024742	-1.1604276	-425.59137							
75.024742	-1.2416174	-459.03015							
80.024742	-1.3282152	-494.90045							
85.024742	-1.4119221	-529.23285							
90.024742	-1.4932116	-564.65131							
95.024742	-1.5769188	-600.77832							
100.02474	-1.6588371	-633.4278							
105.02474	-1.7416492	-668.14508							
110.02474	-1.8267927	-705.25568							
115.02474	-1.9099299	-740.19202							
120.02474	-1.9923493	-775.22852							
125.02474	-2.0749092	-811.01477							
130.02475	-2.1586659	-847.39984							
135.02475	-2.2421243	-882.11725							
140.02475	-2.3271165	-921.26636							
145.02475	-2.408637	-955.35004							
150.02475	-2.4909644	-990.84534							
155.02475	-2.5763872	-1029.6172							
160.02475	-2.6612561	-1069.3787							
165.02475	-2.7410605	-1102.2356							
170.02475	-2.8238182	-1137.7373							
175.02475	-2.9088538	-1176.6489							
180.02475	-2.9921265	-1209.309							
185.02475	-3.0745554	-1245.7037							
190.02475	-3.1582334	-1282.2706							
195.02475	-3.2412179	-1317.7476							
200.02475	-3.3236339	-1351.3876							
205.02475	-3.4082911	-1388.8661							
210.02475	-3.4909673	-1421.8615							
215.02475	-3.5731406	-1458.9608							
220.02475	-3.6568418	-1493.0161							
225.02475	-3.7432318	-1531.4382							
230.02475	-3.8266921	-1565.7146							
235.02475	-3.9078891	-1597.5435							
240.02475	-3.9918022	-1633.3448							
245.02475	-4.0741558	-1667.0944							
250.02475	-4.1573	-1704.676							
255.02475	-4.2410007	-1737.6486							
260.02475	-4.3249788	-1774.9668							
265.02475	-4.4057112	-1807.3579							
270.02475	-4.4933901	-1846.8934							
275.02475	-4.5740366	-1876.027							
280.02475	-4.6571431	-1917.1095							
285.02475	-4.740572	-1951.4165							
290.02475	-4.8239717	-1990.7192							
295.02475	-4.9084077	-2024.8184							
300.02475	-4.9924269	-2055.5325							
305.02475	-5.0766802	-2093.2595							
310.02475	-5.1585312	-2124.0132							
315.02475	-5.2430634	-2158.5222							
320.02475	-5.3255706	-2191.8213							
325.02475	-5.4093781	-2223.1702							
330.02475	-5.4923515	-2257.3972							
335.02475	-5.5742288	-2287.2202							
340.02475	-5.6597524	-2323.3115							
345.02475	-5.7414627	-2350.1279							
350.02475	-5.8241634	-2381.3518							
355.02475	-5.908967	-2417.0801							
360.02475	-5.9903722	-2438.8467							
365.02475	-6.0769715	-2482.5369							
370.02475	-6.1590552	-2507.5815							
375.02475	-6.2418075	-2538.3464							
380.02475	-6.3254991	-2567.2371							
385.02475	-6.407104	-2593.1047							
390.02475	-6.4898057	-2623.8879							
395.02475	-6.5761094	-2655.4434							
400.02475	-6.6576281	-2681.8386							
405.02475	-6.7415185	-2707.8115							
410.02475	-6.8250909	-2732.6377							
415.02475	-6.9075985	-2755.4863							
420.02475	-6.9923363	-2797.1746							
425.02475	-7.0740767	-2814.3054							
430.02475	-7.1577034	-2843.8645							
435.02475	-7.2408271	-2869.0754							
440.02475	-7.3248134	-2893.9629							
445.02475	-7.4081101	-2918.6052							
450.02475	-7.4907985	-2943.7378							
455.02475	-7.5747461	-2967.6069							
460.02475	-7.6587696	-2994.5454							
465.02475	-7.7415032	-3020.2192							
470.02475	-7.8257589	-3037.6475							
475.02475	-7.9073591	-3059.6843							
480.02475	-7.9926872	-3092.6494							
485.02475	-8.0741405	-3108.0881							
490.02475	-8.1593304	-3136.4773							
495.02475	-8.2420511	-3153.7441							
500.02475	-8.3237371	-3168.583							
505.02475	-8.4077015	-3189.3533							
510.02475	-8.4912729	-3214.0664							
515.02478	-8.575799	-3238.5559							
520.02478	-8.6577387	-3249.4309							
525.02478	-8.741848	-3273.061							
530.02478	-8.8265934	-3295.1182							
535.02478	-8.9085512	-3317.0703							
540.02478	-8.9934006	-3334.6375							
545.02478	-9.0746984	-3352.8975							
550.02478	-9.15979	-3378.8833							
555.02478	-9.2426701	-3401.9011							
560.02478	-9.3227444	-3404.928							
565.02478	-9.4062204	-3419.2495							
570.02478	-9.4908743	-3445.9316							
575.02478	-9.5736713	-3449.4871							
580.02478	-9.6589222	-3467.7126							
585.02478	-9.7407885	-3487.7493							
590.02478	-9.8230715	-3492.7095							
595.02478	-9.9077883	-3511.6135							
600.02478	-9.9928236	-3538.9246							
605.02478	-10.074767	-3554.3396							
610.02478	-10.158157	-3569.7546							
615.02478	-10.24177	-3585.1696							
620.02478	-10.323427	-3600.5846							
625.02478	-10.407453	-427.8114							
