MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	488.13818	Sec	3/31/2021 9:33:05 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0245771	-0.084473856	-29.309439
10.024577	-0.16498786	-57.183586
15.024577	-0.24790467	-87.325951
20.024578	-0.33331695	-128.27646
25.024578	-0.41682518	-159.2634
30.024578	-0.50065058	-192.19911
35.024578	-0.58344531	-223.44897
40.024578	-0.66828305	-260.32788
45.024578	-0.74987811	-297.65247
50.024578	-0.83166134	-329.87427
55.024578	-0.91633409	-366.66089
60.024578	-1.0007521	-400.82016
65.024582	-1.0828381	-435.09604
70.024582	-1.1659582	-472.39603
75.024582	-1.2491312	-510.00052
80.024582	-1.3328398	-542.72125
85.024582	-1.4167384	-578.2301
90.024582	-1.4992892	-612.10901
95.024582	-1.5844505	-647.99591
100.02458	-1.6671302	-684.77277
105.02458	-1.7489307	-721.60529
110.02458	-1.8344883	-755.21869
115.02458	-1.9154454	-790.59473
120.02458	-1.9990258	-828.79279
125.02458	-2.0816081	-867.31494
130.02458	-2.1667809	-906.70605
135.02458	-2.2503359	-946.34229
140.02458	-2.3311834	-981.76691
145.02458	-2.4156334	-1021.0513
150.02458	-2.5001087	-1059.5037
155.02458	-2.584094	-1095.2632
160.02458	-2.6661737	-1131.958
165.02458	-2.7505631	-1168.2368
170.02458	-2.8338261	-1202.1002
175.02458	-2.9148529	-1238.5624
180.02458	-3.0007405	-1276.9694
185.02458	-3.0828557	-1311.17
190.02458	-3.1656613	-1348.3625
195.02458	-3.2500896	-1385.2054
200.02458	-3.3322568	-1420.7415
205.02458	-3.4167197	-1455.1005
210.02458	-3.5007558	-1490.9598
215.02458	-3.5808113	-1525.573
220.02458	-3.6665843	-1561.7009
225.02458	-3.749234	-1597.0323
230.02458	-3.8323033	-1632.4669
235.02458	-3.9160862	-1672.0767
240.02458	-3.9996519	-1706.9917
245.02458	-4.0827336	-1739.686
250.02458	-4.1667418	-1776.2395
255.02458	-4.2488561	-1811.6172
260.0246	-4.334434	-1851.9691
265.0246	-4.416791	-1888.4667
270.0246	-4.499454	-1923.5983
275.0246	-4.5834208	-1957.4542
280.0246	-4.665309	-1990.6324
285.0246	-4.7498579	-2027.8683
290.0246	-4.83184	-2058.8262
295.0246	-4.9161105	-2094.3186
300.0246	-5.0008802	-2130.1182
305.0246	-5.0846443	-2161.3647
310.0246	-5.1682305	-2200.2188
315.0246	-5.2491851	-2227.425
320.0246	-5.3323627	-2261.8713
325.0246	-5.4158449	-2295.0703
330.0246	-5.4988632	-2324.8562
335.0246	-5.5818081	-2361.3943
340.0246	-5.6665835	-2391.7322
345.0246	-5.7491031	-2423.4775
350.0246	-5.8330121	-2455.9004
355.0246	-5.9145794	-2486.2209
360.0246	-5.9994297	-2517.4888
365.0246	-6.0825171	-2546.6951
370.0246	-6.1654396	-2576.5095
375.0246	-6.248383	-2608.5164
380.0246	-6.3326983	-2638.4905
385.0246	-6.416326	-2671.0229
390.0246	-6.4984026	-2697.686
395.0246	-6.582828	-2732.2673
400.0246	-6.6652613	-2758.6985
405.0246	-6.7507176	-2788.7429
410.0246	-6.8317609	-2815.8064
415.0246	-6.9157763	-2842.5491
420.0246	-6.9998274	-2857.511
425.0246	-7.0829592	-2796.4397
430.0246	-7.1662655	-2800.9045
435.0246	-7.2507606	-2836.2029
440.0246	-7.332633	-2847.1841
445.0246	-7.4161253	-2860.3865
450.0246	-7.4987779	-2862.2673
455.0246	-7.5835724	-2878.947
460.0246	-7.6657658	-2891.3191
465.0246	-7.7496247	-2899.7969
470.0246	-7.8328309	-2880.99
475.0246	-7.9167356	-2720.7224
480.0246	-7.9996724	-2707.0344
485.0246	-8.0820866	61.009113
