MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Rupture			Time:	350.3576	Sec	3/1/2021 7:36:26 AM
Ch Disp.	Ch Force	Time
mm	N	Sec
0.010862191	200.61688	60.668457
0.022269752	427.60031	61.668457
0.029469466	546.10504	62.668457
0.040030673	780.90686	63.668457
0.044514097	868.72687	64.668457
0.054929473	1042.4928	65.668457
0.059890192	1162.6908	66.668457
0.068022266	1324.0538	67.668457
0.079806723	1600.1556	68.668457
0.08452592	1663.7991	69.668457
0.091363288	1783.6262	70.668457
0.098969914	1971.2341	71.668457
0.10979615	2162.4614	72.668457
0.12220004	2410.624	73.668457
0.12870179	2514.8167	74.668457
0.13709131	2670.4324	75.668457
0.15027067	2901.5337	76.668457
0.15759066	3059.6819	77.668457
0.16543332	3226.8718	78.668457
0.17133018	3328.8887	79.668457
0.18194661	3507.6951	80.668457
0.19170095	3672.4961	81.668457
0.19934569	3820.4814	82.668457
0.20179009	3853.3552	83.668457
0.20926395	4028.5806	84.668457
0.22535384	4316.0908	85.668457
0.22505715	4330.0801	86.668457
0.24209374	4628.1279	87.668457
0.24018677	4567.3809	88.668457
0.25214639	4797.8691	89.668457
0.26102945	4988.7939	90.668457
0.27186906	5170.6123	91.668457
0.27999696	5338.3291	92.668457
0.28604811	5450.522	93.668457
0.29488885	5597.377	94.668457
0.30378816	5773.1748	95.668457
0.31347385	5956.8184	96.668457
0.32252803	6117.0879	97.668457
0.32766849	6200.7637	98.668457
0.33626041	6383.6821	99.668457
0.35199094	6664.7363	100.66846
0.35597295	6673.8398	101.66846
0.36521947	6810.7378	102.66846
0.37386382	6971.2627	103.66846
0.38212016	7143.6665	104.66846
0.39041886	7275.5493	105.66846
0.40081069	7486.3135	106.66846
0.40450409	7521.5215	107.66846
0.41263565	7678.4937	108.66846
0.4226203	7843.6782	109.66846
0.43269885	8044.0703	110.66846
0.43887112	8159.2168	111.66846
0.45088321	8368.832	112.66846
0.45444462	8409.1914	113.66846
0.46331045	8608.583	114.66846
0.4699198	8714.6895	115.66846
0.48159027	8947.8262	116.66846
0.49289471	9127.0381	117.66846
0.49859101	9214.0898	118.66846
0.50394112	9350.2822	119.66846
0.51298922	9524.1504	120.66846
0.52037114	9673.0439	121.66846
0.53397423	9900.8799	122.66846
0.54065627	10014.34	123.66846
0.54787606	10149.472	124.66846
0.55647874	10288.566	125.66846
0.56375086	10409.799	126.66846
0.57594687	10641.072	127.66846
0.58055532	10732.917	128.66846
0.59074253	10903.006	129.66846
0.59740984	11044.006	130.66846
0.6068027	11184.452	131.66846
0.61583227	11332.969	132.66846
0.62245101	11462.264	133.66846
0.63420546	11679.897	134.66846
0.64199924	11795.957	135.66846
0.64808792	11913.347	136.66846
0.65651435	12043.716	137.66846
0.66477448	12225.75	138.66846
0.67329955	12325.44	139.66846
0.6842767	12520.391	140.66846
0.6884501	12567.462	141.66846
0.69973981	12757.107	142.66846
0.70578629	12887.146	143.66846
0.71411133	13052.979	144.66846
0.72036636	13152.648	145.66846
0.73652798	13413.35	146.66846
0.74336755	13534.395	147.66846
0.75094676	13661.12	148.66846
0.75549775	13757.507	149.66846
0.76789337	13970.053	150.66846
0.77451992	14056.001	151.66846
0.7811901	14185.629	152.66846
0.79268688	14377.454	153.66846
0.79846495	14470.77	154.66846
0.8077001	14655.786	155.66846
0.81633586	14815.805	156.66846
0.82493919	14934.816	157.66846
0.83062863	15034.282	158.66846
0.83998936	15196.025	159.66846
0.85180491	15422.735	160.66846
0.85508209	15470.497	161.66846
0.8660633	15626.311	162.66846
0.87578988	15803.774	163.66846
0.88379472	15949.715	164.66846
0.88873214	16045.912	165.66846
0.90047663	16236.552	166.66846
0.90770829	16378.63	167.66846
0.91462493	16471.512	168.66846
0.92508852	16664.99	169.66846
0.93011194	16731.83	170.66846
0.94007474	16896.445	171.66846
0.95040774	17067.75	172.66846
0.9596104	17242.041	173.66846
0.96761751	17337.652	174.66846
0.97409916	17445.311	175.66846
0.98271042	17584.783	176.66846
0.993083	17773.119	177.66846
0.99818951	17890.281	178.66846
1.0077096	18004.949	179.66846
1.016637	18163.818	180.66846
1.0231733	18271.305	181.66846
1.0338234	18448.225	182.66846
1.0418707	18581.059	183.66846
1.0505482	18704.811	184.66846
1.0573108	18807.525	185.66846
1.0642154	18929.967	186.66846
1.0751947	19129.279	187.66846
1.0816096	19217.66	188.66846
1.0926369	19389.641	189.66846
1.0982437	19487.828	190.66846
1.1099278	19684.041	191.66846
1.1162603	19783.752	192.66846
1.1257037	19925.611	193.66846
1.1310589	19992.531	194.66846
1.1430639	20180.469	195.66846
1.1502037	20311.852	196.66846
1.1581028	20407.031	197.66846
1.1668518	20547.375	198.66846
1.1731548	20651.488	199.66846
1.1821171	20808.367	200.66846
1.1916549	20937.492	201.66846
1.1981912	21042.227	202.66846
1.2076794	21182.211	203.66846
1.2164055	21347.531	204.66846
1.2273352	21512.688	205.66846
1.2313454	21546.295	206.66846
1.2424885	21736.984	207.66846
1.2517524	21875.254	208.66846
1.2584399	21985.613	209.66846
1.2660893	22075.773	210.66846
1.2741868	22229.91	211.66846
1.2858181	22410.066	212.66846
1.2932558	22525.73	213.66846
1.2984309	22573.824	214.66846
1.3073509	22746.656	215.66846
1.3180542	22906.492	216.66846
1.3251499	23014.607	217.66846
1.3347806	23124.08	218.66846
1.3422314	23288.943	219.66846
1.3496248	23395.674	220.66846
1.3581756	23522.582	221.66846
1.3663397	23628.51	222.66846
1.3741547	23755.908	223.66846
1.3849188	23934.98	224.66846
1.3923355	24041.896	225.66846
1.4018224	24203.949	226.66846
1.4098891	24328.178	227.66846
1.4181582	24441.225	228.66846
1.4271097	24576.994	229.66846
1.4348768	24692.281	230.66846
1.4421551	24808.025	231.66846
1.4513661	24966.328	232.66846
1.4601814	25092.313	233.66846
1.4667784	25181.787	234.66846
1.4736216	25273.973	235.66846
1.4839387	25465.453	236.66846
1.4917338	25549.023	237.66846
1.5004437	25687.916	238.66846
1.508931	25815.209	239.66846
1.5174958	25960.354	240.66846
1.5265749	26041.475	241.66846
