MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A									
									
Data Acquisition		Extensometre				Time:	30.032553	Sec	3/1/2021 7:39
Time	Ch Disp.	Ch Force	Ch Extensometer						
Sec	mm	N	mm/mm						
1.0253906	0.00279033	65.534729	7.69E-05						
2.0253906	0.009011947	143.48979	0.000156382						
3.0253906	0.013270196	253.35146	0.000257184						
4.0253906	0.018601099	362.24594	0.000341378						
5.0253906	0.025088716	509.61865	0.000436783						
6.0253906	0.029913027	585.29297	0.000531677						
7.0253906	0.033761442	658.57715	0.000576436						
8.0253906	0.039863661	781.52478	0.000692312						
9.0253906	0.043833014	870.44196	0.000770463						
10.025391	0.049984813	957.57172	0.000857199						
11.025391	0.053707834	1055.5227	0.00092277						
12.025391	0.061940558	1173.7913	0.001033848						
13.025391	0.065154426	1249.7488	0.001127839						
14.025391	0.071106203	1363.8461	0.0011881						
15.025391	0.074780919	1464.9379	0.001250043						
16.025391	0.08096607	1571.8104	0.001339292						
17.025391	0.087309748	1665.1151	0.001434452						
18.025391	0.091218762	1771.2748	0.001501196						
19.025391	0.096747741	1871.4531	0.001596089						
20.025391	0.10232288	1969.2678	0.001686923						
21.025391	0.10712378	2055.0327	0.001745936						
22.025391	0.11145917	2176.6558	0.001824305						
23.025391	0.11855824	2290.7146	0.001920834						
24.025391	0.12251206	2361.7451	0.001992155						
25.025391	0.12702531	2452.8728	0.002042863						
26.025391	0.13557027	2603.1177	0.002164268						
27.025391	0.14032447	2682.4434	0.002235761						
28.025391	0.14408749	2779.0127	0.002281966						
29.025391	0.14935729	2877.1423	0.002386995						
30.025391	0.15671252	2978.5601	0.002460504						
