MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	461.80502	Sec	3/31/2021 7:48:45 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0377607	-0.083482087	-19.005991
10.037761	-0.16592166	-37.991863
15.037761	-0.25083455	-60.485374
20.037762	-0.33322436	-88.121574
25.037762	-0.41644159	-114.15359
30.037762	-0.49949041	-142.65297
35.037762	-0.58390349	-178.95644
40.037762	-0.66658944	-204.9136
45.037762	-0.75007117	-237.54234
50.037762	-0.83465314	-263.44968
55.037762	-0.91781527	-292.85449
60.037762	-1.001174	-320.33539
65.037766	-1.0833641	-349.30252
70.037766	-1.1658779	-379.22824
75.037766	-1.2491099	-408.60974
80.037766	-1.3318919	-436.65601
85.037766	-1.4140166	-467.04279
90.037766	-1.4964243	-495.34888
95.037766	-1.5796442	-523.28625
100.03777	-1.6621727	-553.96234
105.03777	-1.7465752	-586.26288
110.03777	-1.8266139	-617.091
115.03777	-1.9100896	-643.91516
120.03777	-1.991432	-675.28162
125.03777	-2.07423	-705.80676
130.03777	-2.1568043	-734.86218
135.03777	-2.2391856	-767.117
140.03777	-2.3210938	-797.52484
145.03777	-2.4040513	-827.26062
150.03777	-2.484895	-856.55109
155.03777	-2.5699651	-887.94733
160.03777	-2.652956	-918.9032
165.03777	-2.7357087	-950.26343
170.03777	-2.8176637	-980.89655
175.03777	-2.9007504	-1012.5315
180.03777	-2.9832933	-1046.2878
185.03777	-3.0657523	-1076.2581
190.03777	-3.1477475	-1110.369
195.03777	-3.2304676	-1140.5109
200.03777	-3.3137002	-1170.673
205.03777	-3.3953063	-1199.8263
210.03777	-3.4793084	-1230.9189
215.03777	-3.563679	-1260.3795
220.03777	-3.6459999	-1292.4663
225.03777	-3.729439	-1322.9785
230.03777	-3.8120775	-1354.9132
235.03777	-3.8940136	-1382.2998
240.03777	-3.9788761	-1413.4709
245.03777	-4.0611682	-1442.6812
250.03777	-4.1434817	-1472.193
255.03777	-4.2280116	-1503.25
260.03778	-4.3109646	-1533.4496
265.03778	-4.3922977	-1564.6578
270.03778	-4.4781919	-1592.77
275.03778	-4.5590591	-1621.1777
280.03778	-4.6435294	-1651.6793
285.03778	-4.7262635	-1679.5917
290.03778	-4.810082	-1712.51
295.03778	-4.8936501	-1737.7936
300.03778	-4.9754066	-1768.7186
305.03778	-5.0605011	-1795.3082
310.03778	-5.1428461	-1823.8186
315.03778	-5.2260756	-1849.265
320.03778	-5.3082376	-1877.5502
325.03778	-5.3919663	-1911.4486
330.03778	-5.4753227	-1940.2322
335.03778	-5.5585661	-1966.228
340.03778	-5.6407609	-1992.8948
345.03778	-5.7235503	-2020.0331
350.03778	-5.8079181	-2048.6013
355.03778	-5.8903728	-2072.1934
360.03778	-5.9745264	-2100.1318
365.03778	-6.0575523	-2128.4585
370.03778	-6.1390529	-2150.2373
375.03778	-6.2237992	-2175.8347
380.03778	-6.3081007	-2201.3931
385.03778	-6.3901196	-2226.0132
390.03778	-6.473372	-2249.6453
395.03778	-6.5581808	-2273.3064
400.03778	-6.6393371	-2296.9341
405.03778	-6.7218556	-2320.9963
410.03778	-6.8048058	-2343.7417
415.03778	-6.8889055	-2366.3547
420.03778	-6.969676	-2389.4338
425.03778	-7.0537019	-2407.9673
430.03778	-7.1368484	-2429.7849
435.03778	-7.2209053	-2453.2258
440.03778	-7.3031583	-2474.3315
445.03778	-7.3848948	-2493.323
450.03778	-7.4688516	-2514.1855
455.03778	-7.5518751	-455.6286
460.03778	-7.6350193	-487.7645
