MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Rupture			Time:	357.6582	Sec	3/4/2021 12:07:56 PM
Ch Disp.	Ch Force	Time
mm	N	Sec
0.010520069	191.08318	272.36426
0.018232422	359.61987	273.36426
0.02639707	548.48737	274.36426
0.036253043	740.745	275.36426
0.043928925	911.23578	276.36426
0.052669778	1065.9917	277.36426
0.060780283	1246.658	278.36426
0.070343465	1403.311	279.36426
0.076142959	1563.2078	280.36426
0.085551195	1745.0023	281.36426
0.093946956	1928.4896	282.36426
0.10157982	2081.7817	283.36426
0.1086149	2231.0532	284.36426
0.11938566	2419.9065	285.36426
0.12749207	2607.634	286.36426
0.13368581	2745.8606	287.36426
0.14494365	2959.845	288.36426
0.15133739	3096.7571	289.36426
0.16030997	3275.5415	290.36426
0.16898151	3430.4473	291.36426
0.17677239	3596.6914	292.36426
0.18579881	3761.0479	293.36426
0.1930037	3908.9878	294.36426
0.20256637	4087.5984	295.36426
0.21144578	4278.8042	296.36426
0.22059955	4448.4121	297.36426
0.22647049	4579.6851	298.36426
0.23592733	4794.8462	299.36426
0.24320522	4901.5234	300.36426
0.25246722	5088.7422	301.36426
0.26015952	5219.5054	302.36426
0.26768196	5405.4849	303.36426
0.27710781	5555.731	304.36426
0.28561872	5738.3076	305.36426
0.29560849	5885.6816	306.36426
0.3007414	6021.4907	307.36426
0.31192708	6197.2236	308.36426
0.31927428	6360.8721	309.36426
0.32673869	6509.1865	310.36426
0.33704093	6677.3423	311.36426
0.34353843	6687.9956	312.36426
0.35203767	6865.8433	313.36426
0.36210102	7031.5981	314.36426
0.37033674	7169.1338	315.36426
0.37758029	7305.0415	316.36426
0.38500637	7493.4429	317.36426
0.39498448	7638.3071	318.36426
0.40240154	7774.5225	319.36426
0.41010925	7930.0483	320.36426
0.41956747	8100.1797	321.36426
0.42727038	8236.9141	322.36426
0.43713763	8353.2354	323.36426
0.44605371	8480.0264	324.36426
0.45418286	8620.5947	325.36426
0.46001065	8697.2598	326.36426
0.46933097	8849.2236	327.36426
0.47680935	9005.0996	328.36426
0.48621634	9145.3965	329.36426
0.49381047	9297.2949	330.36426
0.50207555	9412.1162	331.36426
0.51069093	9556.1104	332.36426
0.51861519	9630.8994	333.36426
0.5273695	9820.6797	334.36426
0.53544176	9894.2969	335.36426
0.54353034	10003.579	336.36426
0.55017513	10084.977	337.36426
0.55990237	10175.776	338.36426
0.56929117	10240.394	339.36426
0.57736462	10240.893	340.36426
0.58513844	10285.913	341.36426
0.59435284	10375.34	342.36426
0.60183322	10390.841	343.36426
0.61123204	10182.233	344.36426
0.61768931	9171.9785	345.36426
0.62851965	9240.2578	346.36426
0.63630986	9297.2314	347.36426
0.644629	9343.4863	348.36426
0.65253168	9361.0586	349.36426
0.66042751	9361.7354	350.36426
0.66858661	1657.2107	351.36426
0.67785347	1849.4976	352.36426
0.6888805	1972.3948	353.36426
0.69322264	2022.6526	354.36426
0.70270443	2075.6938	355.36426
0.71048838	2119.6729	356.36426
0.71942508	2141.8386	357.36426
