MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Rupture			Time:	374.48407	Sec	3/10/2021 7:38:44 AM
Ch Disp.	Ch Force	Time
mm	N	Sec
0.0041546468	112.81814	269.21729
0.010443263	238.17551	270.21729
0.019376304	357.85107	271.21729
0.026658384	462.41473	272.21729
0.037573133	654.74316	273.21729
0.045986928	765.82391	274.21729
0.051904693	874.36017	275.21729
0.0611379	1023.2624	276.21729
0.066958085	1099.2448	277.21729
0.077516317	1254.0231	278.21729
0.086178906	1370.744	279.21729
0.09202265	1501.7338	280.21729
0.10312779	1644.1565	281.21729
0.10923426	1726.2482	282.21729
0.11911421	1867.629	283.21729
0.12921031	1986.9679	284.21729
0.13418666	2113.7507	285.21729
0.1453069	2268.9041	286.21729
0.15117595	2339.1111	287.21729
0.16242406	2515.1021	288.21729
0.16964385	2616.8945	289.21729
0.17850251	2741.3481	290.21729
0.18599148	2858.5688	291.21729
0.195242	2991.4412	292.21729
0.20218509	3107.6567	293.21729
0.21163698	3279.6597	294.21729
0.21969037	3360.1838	295.21729
0.22677672	3468.7971	296.21729
0.2358411	3575.0122	297.21729
0.24418625	3702.9951	298.21729
0.25414693	3842.0791	299.21729
0.2613261	3972.9214	300.21729
0.27128252	4085.8049	301.21729
0.27743879	4207.8496	302.21729
0.28790906	4314.79	303.21729
0.29356903	4422.0806	304.21729
0.30288336	4548.499	305.21729
0.31176627	4681.7939	306.21729
0.31917062	4780.4263	307.21729
0.32897189	4919.2476	308.21729
0.33641112	5044.4438	309.21729
0.34456527	5165.0923	310.21729
0.35355726	5259.084	311.21729
0.36006808	5387.3555	312.21729
0.36893639	5496.6216	313.21729
0.37786388	5614.6548	314.21729
0.38696802	5741.1465	315.21729
0.39217141	5814.145	316.21729
0.40305629	5976.7817	317.21729
0.4127371	6077.5698	318.21729
0.41734904	6149.3613	319.21729
0.42787558	6279.0474	320.21729
0.43537095	6348.3208	321.21729
0.44415411	6480.3516	322.21729
0.45206019	6598.7451	323.21729
0.46328723	6736.5269	324.21729
0.47207031	6872.3882	325.21729
0.47715932	6900.2148	326.21729
0.48682946	7044.8501	327.21729
0.49352074	7127.9541	328.21729
0.50269991	7250.0771	329.21729
0.51268333	7391.2397	330.21729
0.51881272	7473.314	331.21729
0.52733719	7606.813	332.21729
0.53779233	7717.9312	333.21729
0.54341376	7807.9185	334.21729
0.55352628	7930.4614	335.21729
0.56073207	8023.5757	336.21729
0.57042664	8152.2246	337.21729
0.57994986	8254.1748	338.21729
0.58732635	8369.7197	339.21729
0.59557778	8454.5889	340.21729
0.60284412	8540.6797	341.21729
0.61183596	8666.4814	342.21729
0.61904603	8750.8135	343.21729
0.62751865	8868.6787	344.21729
0.63674062	8934.8125	345.21729
0.64466983	9034.1689	346.21729
0.65293837	9117.6123	347.21729
0.66266024	9254.0732	348.21729
0.66927367	9346.8359	349.21729
0.67901289	9399.9512	350.21729
0.68582624	9485.9434	351.21729
0.69513762	9571.2822	352.21729
0.70310473	9668	353.21729
0.71125686	9703.2266	354.21729
0.72000241	9812.6152	355.21729
0.72872251	9894.2803	356.21729
0.73870099	9974.8447	357.21729
0.74481177	10034.2	358.21729
0.75413108	10115.739	359.21729
0.76213425	10195.048	360.21729
0.7713986	10307.33	361.21729
0.77812946	10343.845	362.21729
0.78717703	10445.558	363.21729
0.79804778	10530.641	364.21729
0.80336809	10568.442	365.21729
0.81087869	10530.401	366.21729
0.821859	9685.8486	367.21729
0.82889521	944.60577	368.21729
0.83461803	942.99316	369.21729
0.84370983	969.14276	370.21729
0.85150385	983.01086	371.21729
0.85988235	963.4895	372.21729
0.8678419	975.86407	373.21729
0.87662673	976.13367	374.21729
