MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	425.35712	Sec	3/24/2021 7:20:09 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0255537	-0.083351612	-17.691025
10.025554	-0.16533294	-31.446417
15.025554	-0.24936739	-51.487675
20.025555	-0.33115268	-69.777161
25.025555	-0.41450885	-84.867233
30.025555	-0.50011051	-100.55102
35.025555	-0.58088863	-115.61424
40.025555	-0.66542834	-132.75537
45.025555	-0.74907517	-146.74123
50.025555	-0.83051616	-164.26057
55.025555	-0.91622943	-180.30087
60.025555	-0.99924076	-193.29779
65.025558	-1.0835636	-207.43445
70.025558	-1.1661828	-224.29153
75.025558	-1.2485278	-239.43942
80.025558	-1.3323934	-253.29596
85.025558	-1.4157319	-271.26572
90.025558	-1.4978083	-285.1485
95.025558	-1.581625	-306.46039
100.02556	-1.6638516	-320.76245
105.02556	-1.748286	-337.77795
110.02556	-1.8325632	-355.30936
115.02556	-1.9163872	-373.73917
120.02556	-1.9987612	-390.7088
125.02556	-2.0802431	-406.92838
130.02556	-2.1649332	-423.95163
135.02556	-2.2484393	-439.9028
140.02556	-2.3323464	-459.42523
145.02556	-2.4149671	-473.88873
150.02556	-2.5003119	-491.1376
155.02556	-2.5819995	-509.39859
160.02556	-2.6664252	-525.5799
165.02556	-2.7501464	-539.21777
170.02556	-2.8316047	-558.71124
175.02556	-2.9150925	-571.17804
180.02556	-2.9995294	-588.922
185.02556	-3.0818644	-603.17615
190.02556	-3.1636093	-618.29938
195.02556	-3.2485833	-633.16144
200.02556	-3.3309853	-649.16711
205.02556	-3.4143922	-664.56848
210.02556	-3.4988885	-677.32874
215.02556	-3.5811987	-692.55164
220.02556	-3.6647112	-706.29486
225.02556	-3.7480447	-720.79132
230.02556	-3.8313708	-732.33496
235.02556	-3.9144201	-747.60638
240.02556	-3.9972692	-762.1109
245.02556	-4.0800385	-774.86786
250.02556	-4.165422	-787.81604
255.02556	-4.2483444	-802.70898
260.02557	-4.3326602	-812.02997
265.02557	-4.4132676	-825.26044
270.02557	-4.4986482	-839.30591
275.02557	-4.580194	-850.85162
280.02557	-4.661438	-861.54956
285.02557	-4.7464209	-876.58051
290.02557	-4.8303723	-889.01691
295.02557	-4.9137545	-896.58014
300.02557	-4.9973073	-908.74591
305.02557	-5.0803995	-923.08136
310.02557	-5.165194	-934.36572
315.02557	-5.2472267	-942.44037
320.02557	-5.3303518	-943.00714
325.02557	-5.4133244	-949.85284
330.02557	-5.4963779	-955.23407
335.02557	-5.5803971	-967.29736
340.02557	-5.6627574	-976.4989
345.02557	-5.7468657	-984.10181
350.02557	-5.8310919	-991.18835
355.02557	-5.9140263	-997.94257
360.02557	-5.9991236	-1010.0274
365.02557	-6.0782571	-1014.6451
370.02557	-6.1645856	-1022.3445
375.02557	-6.2473702	-1022.4594
380.02557	-6.3289728	-1019.6379
385.02557	-6.4152761	-1026.3311
390.02557	-6.4969192	-1028.3906
395.02557	-6.5793719	-1032.7924
400.02557	-6.6635427	-1034.3147
405.02557	-6.7466402	-1037.9911
410.02557	-6.8301983	-1027.3054
415.02557	-6.9139962	-1002.5865
420.02557	-6.9965458	-994.54077
425.02557	-7.0803132	-728.64606
