MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Rupture			Time:	378.47626	Sec	3/4/2021 12:24:45 PM
Ch Disp.	Ch Force	Time
mm	N	Sec
0.0076805917	130.8945	259.68344
0.018978331	312.79858	260.68344
0.024891177	432.23648	261.68344
0.034101281	562.35699	262.68344
0.041284554	721.46338	263.68344
0.05119298	878.91858	264.68344
0.059117034	1019.9135	265.68344
0.068569116	1173.7845	266.68344
0.075549543	1293.8013	267.68344
0.082380764	1410.5884	268.68344
0.093894303	1581.7024	269.68344
0.098972678	1711.4686	270.68344
0.10810124	1846.483	271.68344
0.11729434	1988.7161	272.68344
0.12542616	2157.0857	273.68344
0.13297275	2297.6528	274.68344
0.14319266	2440.0107	275.68344
0.15040682	2605.6296	276.68344
0.15777746	2704.0718	277.68344
0.16752854	2848.1921	278.68344
0.17587242	2979.2996	279.68344
0.18432862	3147.0308	280.68344
0.19090782	3274.5613	281.68344
0.20069756	3416.9666	282.68344
0.21008065	3599.9165	283.68344
0.21626292	3709.3862	284.68344
0.22488371	3820.8127	285.68344
0.23270056	3963.3093	286.68344
0.24178773	4112.3882	287.68344
0.25063547	4252.041	288.68344
0.25806671	4368.6299	289.68344
0.27000609	4557.2124	290.68344
0.27631623	4666.2197	291.68344
0.28486174	4798.7808	292.68344
0.29017848	4916.7168	293.68344
0.29906911	5048.8799	294.68344
0.30797237	5182.8716	295.68344
0.31762823	5327.6489	296.68344
0.32514429	5460.5815	297.68344
0.33411217	5619.0947	298.68344
0.34244257	5726.0259	299.68344
0.35052398	5873.2466	300.68344
0.35941726	6010.7998	301.68344
0.36681712	6121.749	302.68344
0.37637764	6266.7642	303.68344
0.38273203	6372.813	304.68344
0.39158577	6490.4868	305.68344
0.39916679	6626.5186	306.68344
0.40913448	6687.3716	307.68344
0.41749474	6798.4478	308.68344
0.426119	6949.5386	309.68344
0.43229997	7038.7998	310.68344
0.44334272	7231.9961	311.68344
0.448686	7307.9858	312.68344
0.45930278	7448.3525	313.68344
0.4696101	7610.7295	314.68344
0.47719049	7718.6396	315.68344
0.48273686	7802.1748	316.68344
0.49145317	7924.5903	317.68344
0.50111401	8090.8525	318.68344
0.51078951	8171.7178	319.68344
0.51823837	8338.5381	320.68344
0.52723491	8452.3047	321.68344
0.53455389	8569.2725	322.68344
0.54128164	8692.3955	323.68344
0.55118412	8827.7275	324.68344
0.55731392	8944.5811	325.68344
0.56611556	9048.1836	326.68344
0.57498407	9185.1982	327.68344
0.58424151	9319.585	328.68344
0.59268725	9441.5928	329.68344
0.60111666	9568.7568	330.68344
0.60794753	9658.5371	331.68344
0.61564857	9817.5957	332.68344
0.62548363	9946.9355	333.68344
0.63446689	10062.34	334.68344
0.64256656	10186.913	335.68344
0.65125537	10309.484	336.68344
0.65820998	10439.257	337.68344
0.66696757	10540.342	338.68344
0.6757828	10656.083	339.68344
0.68221915	10768.299	340.68344
0.69229525	10897.564	341.68344
0.69895881	11024.004	342.68344
0.70746726	11130.224	343.68344
0.71801364	11271.381	344.68344
0.72392029	11379.522	345.68344
0.73579079	11509.566	346.68344
0.74258065	11627.312	347.68344
0.75038302	11729.071	348.68344
0.75878042	11834.638	349.68344
0.76804942	11970.645	350.68344
0.77550793	12068.12	351.68344
0.78325438	12197.746	352.68344
0.79300475	12309.143	353.68344
0.80193132	12420.323	354.68344
0.80985266	12521.82	355.68344
0.8187663	12617.726	356.68344
0.82385713	12699.92	357.68344
0.83399713	12847.959	358.68344
0.84329414	12939.976	359.68344
0.85105425	13066.456	360.68344
0.85959405	13168.966	361.68344
0.86563021	13240.037	362.68344
0.87568456	13399.357	363.68344
0.88333362	13448.22	364.68344
0.89323997	13536.527	365.68344
0.90249467	13657.289	366.68344
0.90854609	13696.389	367.68344
0.91707581	13785.364	368.68344
0.92443597	13860.79	369.68344
0.93445015	13928.674	370.68344
0.94221598	14017.863	371.68344
0.95200884	1029.0602	372.68344
0.95796978	1062.5537	373.68344
0.96512461	1070.339	374.68344
0.97350705	1062.4766	375.68344
0.98459107	1071.4747	376.68344
0.99171269	1068.5269	377.68344
