MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre_3			Time:	177.85107	Sec	3/4/2021 12:49:23 PM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
148.8457	0.0058196108	79.34964	0.00016998209
149.8457	0.010450095	129.29283	0.00022282296
150.8457	0.018265918	243.8087	0.00042357281
151.8457	0.028872918	348.39301	0.00058785954
152.8457	0.035578538	467.27115	0.00071303739
153.8457	0.042081881	559.22516	0.00081502262
154.8457	0.050124362	682.77795	0.0010151753
155.8457	0.05644745	786.00519	0.0011251287
156.8457	0.064486861	873.74188	0.0012248225
157.8457	0.071673818	967.29144	0.0013831001
158.8457	0.077088475	1056.8785	0.0015496293
159.8457	0.087739319	1206.8168	0.0016620373
160.8457	0.091169193	1269.7805	0.0017410442
161.8457	0.10224381	1383.2178	0.0019371505
162.8457	0.11034305	1507.3066	0.0020334381
163.8457	0.11548294	1566.9548	0.0021080326
164.8457	0.12290122	1654.038	0.0022401891
165.8457	0.13079229	1775.9949	0.0023696572
166.8457	0.13758048	1882.5818	0.0024921692
167.8457	0.14640309	2012.2521	0.0026401316
168.8457	0.15330888	2077.1943	0.0027801441
169.8457	0.16177355	2202.8616	0.0028852406
170.8457	0.16774228	2277.2898	0.0029690587
171.8457	0.17541508	2379.6914	0.0031034513
172.8457	0.1832158	2498.8662	0.0032277531
173.8457	0.18872736	2586.9673	0.0033224127
174.8457	0.1953246	2686.6777	0.0034416958
175.8457	0.20289107	2777.6865	0.0035808685
176.8457	0.21227001	2906.4829	0.0037006587
177.8457	0.21725884	2968.4468	0.0037684839
