MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre 4			Time:	235.24968	Sec	3/10/2021 8:29:08 AM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
206.24448	0.011606491	119.37855	0.0002716865
207.24448	0.017394455	205.50389	0.00034334225
208.24448	0.023985542	280.76901	0.00046267637
209.24448	0.02983016	384.72116	0.00061716646
210.24448	0.034568418	482.46957	0.00070292258
211.24448	0.04373401	589.30762	0.00081147789
212.24448	0.049761388	696.43311	0.00092176406
213.24448	0.055185877	758.80487	0.001033709
214.24448	0.062303584	865.88025	0.001148448
215.24448	0.070451997	993.55554	0.0012821594
216.24448	0.077200696	1078.225	0.0013604451
217.24448	0.082007386	1143.522	0.0014588672
218.24448	0.091832012	1266.7338	0.001615848
219.24448	0.096584968	1374.7476	0.0017015334
220.24448	0.10197877	1449.3326	0.0017717762
221.24448	0.11074375	1544.342	0.0018787406
222.24448	0.11711515	1641.9795	0.0020250648
223.24448	0.12523882	1763.9178	0.0021241142
224.24448	0.13034178	1863.1465	0.0022223245
225.24448	0.13863182	1950.6346	0.0023640664
226.24448	0.14582616	2066.219	0.0025379972
227.24448	0.15280269	2180.0298	0.0026036671
228.24448	0.15865853	2246.7112	0.0026566759
229.24448	0.16789338	2373.2065	0.0027938797
230.24448	0.17606273	2488.1924	0.0029313259
231.24448	0.18457672	2606.6663	0.0030340173
232.24448	0.18739715	2661.668	0.0030978308
233.24448	0.19511011	2768.082	0.0031983738
234.24448	0.20164239	2864.4568	0.0033272519
235.24448	0.20841768	2978.0986	0.003420593
