MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Rupture			Time:	362.67676	Sec	3/10/2021 8:40:52 AM
Ch Disp.	Ch Force	Time
mm	N	Sec
0.0059173452	107.36604	243.46355
0.012470373	247.18475	244.46355
0.021015709	356.26224	245.46355
0.030850988	508.91431	246.46355
0.038206011	605.82172	247.46355
0.045989048	719.63989	248.46355
0.055835802	857.487	249.46355
0.064266399	965.19037	250.46355
0.071641497	1096.1624	251.46355
0.079512231	1218.7645	252.46355
0.087431833	1342.0328	253.46355
0.092569627	1431.1797	254.46355
0.10396618	1557.8313	255.46355
0.11231764	1675.1223	256.46356
0.12053781	1803.368	257.46356
0.12913539	1935.9285	258.46356
0.13636968	2038.9025	259.46356
0.14549783	2134.9736	260.46356
0.15500277	2258.3208	261.46356
0.1621211	2352.9749	262.46356
0.16962036	2478.3923	263.46356
0.17980954	2604.1516	264.46356
0.18860695	2741.4641	265.46356
0.19687931	2864.4673	266.46356
0.20132641	2960.3286	267.46356
0.2119977	3116.0703	268.46356
0.22178344	3245.0942	269.46356
0.22971401	3326.1848	270.46356
0.23799933	3457.4246	271.46356
0.24732561	3603.9893	272.46356
0.25340623	3683.9897	273.46356
0.2634196	3821.8511	274.46356
0.27070695	3975.1382	275.46356
0.28084081	4062.3054	276.46356
0.28803018	4151.2266	277.46356
0.2968553	4266.0234	278.46356
0.30395928	4366.8843	279.46356
0.31411463	4493.2373	280.46356
0.32214218	4606.2285	281.46356
0.32883427	4708.2324	282.46356
0.33787569	4839.3496	283.46356
0.34526673	4947.7354	284.46356
0.35480779	5067.2593	285.46356
0.36376035	5197.042	286.46356
0.37168518	5296.6914	287.46356
0.37946457	5407.377	288.46356
0.38754332	5513.4009	289.46356
0.3966983	5649.1807	290.46356
0.40391394	5756.4429	291.46356
0.41336992	5858.1973	292.46356
0.42313758	5973.2197	293.46356
0.43019712	6062.5322	294.46356
0.43870535	6159.9727	295.46356
0.44696876	6264.1709	296.46356
0.45501575	6364.8135	297.46356
0.4614183	6462.0762	298.46356
0.47099152	6602.4243	299.46356
0.48050815	6704.7954	300.46356
0.48767644	6812.437	301.46356
0.49608999	6931	302.46356
0.50364977	7026.4292	303.46356
0.513053	7126.7139	304.46356
0.52099001	7248.4907	305.46356
0.52836424	7337.0684	306.46356
0.53821599	7452.2197	307.46356
0.54519594	7582.1089	308.46356
0.5543952	7680.7808	309.46356
0.5627166	7785.918	310.46356
0.57235038	7890.6636	311.46356
0.5782938	7985.3413	312.46356
0.58832902	8073.124	313.46356
0.59672457	8174.3164	314.46356
0.60333884	8266.833	315.46356
0.61342144	8388.3818	316.46356
0.62036347	8478.2578	317.46356
0.6300931	8602.5215	318.46356
0.63792145	8694.7295	319.46356
0.64640838	8803.3828	320.46356
0.65523058	8903.3096	321.46356
0.66315377	8993.9355	322.46356
0.67109406	9088.4609	323.46356
0.68061352	9200.2158	324.46356
0.6881696	9281.7637	325.46356
0.69809645	9408.2041	326.46356
0.70451105	9482.6338	327.46356
0.71352082	9608.9814	328.46356
0.72141719	9711.6436	329.46356
0.72985226	9787.6055	330.46356
0.73844868	9906.4043	331.46356
0.74614501	9996.1729	332.46356
0.75484562	10105.313	333.46356
0.7635619	10205.459	334.46356
0.76988024	10281.442	335.46356
0.77937233	10398.547	336.46356
0.78921133	10497.796	337.46356
0.79619664	10591.365	338.46356
0.80589223	10690.654	339.46356
0.81365168	10780.521	340.46356
0.82146895	10881.634	341.46356
0.82947499	10973.403	342.46356
0.83818775	10988.015	343.46356
0.84511501	11061.484	344.46356
0.85565895	11145.686	345.46356
0.86393464	11215.849	346.46356
0.87035257	11274.683	347.46356
0.87987226	11327.477	348.46356
0.88993502	11421.584	349.46356
0.8957209	11465.563	350.46356
0.90622324	11542.443	351.46356
0.91234726	11585.677	352.46356
0.92335784	11707.183	353.46356
0.92901158	11718.222	354.46356
0.93793088	11671.72	355.46356
0.94613785	720.07813	356.46356
0.95557326	748.23926	357.46356
0.96337068	755.84741	358.46356
0.97091722	752.78156	359.46356
0.97953773	768.21838	360.46356
0.98834211	773.56488	361.46356
0.99695206	788.08331	362.46356
