MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre_3			Time:	157.2562	Sec	3/10/2021 8:45:32 AM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
128.25114	0.0034281409	67.309898	0.00011563273
129.25114	0.0098277563	174.43268	0.00023945115
130.25114	0.016243456	281.61816	0.00040046702
131.25114	0.023004808	399.74023	0.00067601464
132.25114	0.030275056	498.1571	0.0010453038
133.25114	0.037258714	591.15521	0.0013580242
134.25114	0.042712502	693.20294	0.0014968485
135.25114	0.050995372	774.54218	0.0016125944
136.25114	0.058179259	885.09637	0.0017538138
137.25114	0.066418901	1004.1665	0.0019006656
138.25114	0.0721981	1101.7202	0.002008941
139.25114	0.076603979	1186.2144	0.0020824561
140.25114	0.086004019	1312.2346	0.0021932742
141.25114	0.093450114	1418.3583	0.0023118679
142.25114	0.098234929	1480.7456	0.0023933675
143.25114	0.10537989	1612.704	0.0025152692
144.25114	0.1122214	1698.6364	0.0026073654
145.25114	0.11740822	1798.0857	0.0027144833
146.25114	0.12467529	1878.7299	0.0028259212
147.25114	0.13176267	2000.7999	0.0029406033
148.25114	0.13934369	2106.988	0.0030556412
149.25114	0.14821793	2227.7505	0.0031755655
150.25114	0.15202726	2319.6504	0.0032506327
151.25114	0.15926959	2423.1624	0.0033376857
152.25114	0.1676714	2505.1367	0.0034595442
153.25114	0.1740994	2609.9282	0.003555547
154.25114	0.17832932	2692.5242	0.0036171875
155.25114	0.18697771	2789.4475	0.0037553327
156.25114	0.19449881	2899.9023	0.0038800216
157.25114	0.19983774	2970.0261	0.0039572115
