MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	450.64374	Sec	3/17/2021 8:12:01 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0253906	-0.083092175	-11.41118
10.025391	-0.16752021	-25.477104
15.025391	-0.24924424	-36.296158
20.025391	-0.33316907	-48.413082
25.025391	-0.41530091	-62.607624
30.025391	-0.50085497	-75.31826
35.025391	-0.58236647	-89.802826
40.025391	-0.66650194	-110.02827
45.025391	-0.74925768	-120.69925
50.025391	-0.83284152	-134.52422
55.025391	-0.91622967	-147.90062
60.025391	-0.99971348	-160.73869
65.025391	-1.0824494	-175.31386
70.025391	-1.1656121	-187.83829
75.025391	-1.2486058	-204.41252
80.025391	-1.3325716	-219.37459
85.025391	-1.4160142	-233.41658
90.025391	-1.5013542	-248.29218
95.025391	-1.5813653	-263.70789
100.02539	-1.6670033	-279.73834
105.02539	-1.7502255	-296.26611
110.02539	-1.8349502	-313.87753
115.02539	-1.9171735	-329.5881
120.02539	-1.9997807	-345.41403
125.02539	-2.0836985	-362.4433
130.02539	-2.1651957	-376.82684
135.02539	-2.2497494	-391.18622
140.02539	-2.3325989	-408.66812
145.02539	-2.4152787	-425.68073
150.02539	-2.5001447	-441.56531
155.02539	-2.5839243	-456.05276
160.02539	-2.6668234	-470.38187
165.02539	-2.7512999	-489.7897
170.02539	-2.8339095	-507.86234
175.02539	-2.9176793	-522.29791
180.02539	-2.9996712	-538.85522
185.02539	-3.0801659	-554.09314
190.02539	-3.166425	-572.27563
195.02539	-3.2488995	-583.43115
200.02539	-3.3326836	-598.87408
205.02539	-3.4164927	-615.31915
210.02539	-3.4978857	-632.30634
215.02539	-3.5837405	-646.50812
220.02539	-3.6664689	-659.26569
225.02539	-3.7515411	-678.48163
230.02539	-3.8326204	-692.78442
235.02539	-3.917738	-708.02057
240.02539	-3.9982767	-722.33203
245.02539	-4.0829253	-737.92767
250.02539	-4.1664739	-751.46356
255.02539	-4.2498803	-765.07172
260.02539	-4.3340755	-781.10052
265.02539	-4.4162974	-794.05707
270.02539	-4.499588	-808.49066
275.02539	-4.5822372	-821.95911
280.02539	-4.6681614	-838.65161
285.02539	-4.7494631	-849.70386
290.02539	-4.8328962	-863.9436
295.02539	-4.9143867	-876.09674
300.02539	-4.9980407	-888.94397
305.02539	-5.0827336	-901.66266
310.02539	-5.1654987	-915.22632
315.02539	-5.2498064	-929.40295
320.02539	-5.3323522	-942.36884
325.02539	-5.4171185	-953.91895
330.02539	-5.5000515	-971.56409
335.02539	-5.583528	-983.03033
340.02539	-5.6687527	-996.82312
345.02539	-5.7506094	-1005.0408
350.02539	-5.8328657	-1018.0587
355.02539	-5.9162927	-1027.0964
360.02539	-6.0006595	-1039.83
365.02539	-6.0850134	-1049.6393
370.02539	-6.1652002	-1059.2139
375.02539	-6.2509651	-1070.9083
380.02539	-6.3346701	-1028.0472
385.02539	-6.4157739	-1036.2146
390.02539	-6.4978538	-1044.3313
395.02539	-6.5826688	-1052.8732
400.02539	-6.6659136	-1051.1453
405.02539	-6.7508941	-1036.7518
410.02539	-6.8342915	-1016.1549
415.02539	-6.9162822	-1010.0802
420.02539	-7.0016923	-1018.5108
425.02539	-7.0825148	-1019.0162
430.02539	-7.1672568	-1020.838
435.02539	-7.2511716	-1029.5334
440.02539	-7.3322101	-1028.729
445.02539	-7.4166675	42.094894
450.02539	-7.4977207	39.863266
